"","Symbol","Description","NED1","NED2","NED3","NED4","DS1","DS2","DS3","DS4","Biotypes","EntrezID"
"1","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",217,242,1062,131,156,138,275,161,"protein_coding",8813
"2","SCYL3","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]",56,30,251,42,25,32,77,57,"protein_coding",57147
"3","C1orf112","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]",39,16,133,35,16,8,48,33,"protein_coding",55732
"4","FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",2683,393,9959,1623,1446,1201,1975,1917,"protein_coding",2268
"5","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]",34,26,211,10,2,2,49,22,"protein_coding",3075
"6","GCLC","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]",432,464,886,275,134,48,262,183,"protein_coding",2729
"7","NFYA","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]",161,78,890,216,74,65,223,167,"protein_coding",4800
"8","STPG1","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]",20,29,90,23,11,19,26,8,"protein_coding",90529
"9","NIPAL3","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]",173,169,1013,216,51,93,378,107,"protein_coding",57185
"10","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]",39,65,199,53,23,35,38,37,"protein_coding",81887
"11","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]",78,32,480,131,36,23,157,52,"protein_coding",22875
"12","ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]",312,171,1070,237,112,76,336,176,"protein_coding",54467
"13","RAD52","RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]",46,25,156,49,8,14,49,26,"protein_coding",5893
