"","Symbol","Description","Biotypes","Average"
"1","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]","protein_coding",305.5
"2","SCYL3","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]","protein_coding",80.5
"3","C1orf112","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]","protein_coding",47.875
"4","FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]","protein_coding",3074.25
"5","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]","protein_coding",50
"6","GCLC","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]","protein_coding",371.625
"7","NFYA","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]","protein_coding",248.75
"8","STPG1","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","protein_coding",32.625
"9","NIPAL3","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]","protein_coding",288
"10","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","protein_coding",63.5
"11","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]","protein_coding",135.75
"12","ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]","protein_coding",321.25
"13","RAD52","RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]","protein_coding",57.75
"14","LAP3","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]","protein_coding",300.375
"15","LASP1","LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]","protein_coding",3126.75
"16","SNX11","sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]","protein_coding",192.375
"17","TMEM176A","transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]","protein_coding",19
"18","M6PR","mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]","protein_coding",562.625
"19","DBNDD1","dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]","protein_coding",17.25
"20","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]","protein_coding",68.875
"21","CASP10","caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]","protein_coding",254.75
"22","CFLAR","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]","protein_coding",1739
"23","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","protein_coding",31.25
"24","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]","protein_coding",109.875
"25","RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]","protein_coding",609.875
"26","ARF5","ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]","protein_coding",1000.75
