"","Symbol","Description","Biotypes","Average"
"1","HBB","hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]","protein_coding",754862.5
"2","ACTB","actin beta [Source:HGNC Symbol;Acc:HGNC:132]","protein_coding",67203.75
"3","B2M","beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]","protein_coding",54519
"4","ACTG1","actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]","protein_coding",46367.625
"5","EEF1A1","eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]","protein_coding",35325
"6","TENT5C","terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]","protein_coding",30636.25
"7","FTL","ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]","protein_coding",27576.875
"8","UBB","ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]","protein_coding",25556.75
"9","RPLP2","ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]","protein_coding",24727.375
"10","CSF3R","colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]","protein_coding",23584.125
"11","LYZ","lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]","protein_coding",19396.875
"12","PABPC1","poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]","protein_coding",19232.375
"13","LAPTM5","lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]","protein_coding",17481.125
"14","RPL4","ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]","protein_coding",16798.375
"15","FCGR3B","Fc fragment of IgG receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]","protein_coding",16052.125
"16","IFITM2","interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]","protein_coding",15425.625
"17","SLC25A39","solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]","protein_coding",15274.875
"18","HLA-E","major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]","protein_coding",14627.75
"19","RPS11","ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]","protein_coding",14406.75
"20","PSAP","prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]","protein_coding",13896
"21","ADIPOR1","adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]","protein_coding",13035.625
"22","UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]","protein_coding",11709
"23","TPT1","tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:HGNC:12022]","protein_coding",11611.125
"24","SLC25A37","solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]","protein_coding",11420.25
"25","NEAT1","nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]","lncRNA",11283
"26","SH3BGRL3","SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]","protein_coding",11255.625
"27","FBXO7","F-box protein 7 [Source:HGNC Symbol;Acc:HGNC:13586]","protein_coding",11165.625
"28","ALAS2","5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]","protein_coding",10738.375
"29","STRADB","STE20 related adaptor beta [Source:HGNC Symbol;Acc:HGNC:13205]","protein_coding",10341
