"","Symbol","Description","NED1","NED2","NED3","NED4","DS1","DS2","DS3","DS4","Biotypes","EntrezID"
"1","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",217,242,1062,131,137,136,190,329,"protein_coding",8813
"2","SCYL3","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]",56,30,251,42,51,47,91,76,"protein_coding",57147
"3","C1orf112","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]",39,16,133,35,38,23,55,44,"protein_coding",55732
"4","FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",2683,393,9959,1623,2933,2428,2334,2241,"protein_coding",2268
"5","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]",34,26,211,10,18,7,13,81,"protein_coding",3075
"6","GCLC","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]",432,464,886,275,417,138,122,239,"protein_coding",2729
"7","NFYA","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]",161,78,890,216,187,106,123,229,"protein_coding",4800
"8","STPG1","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]",20,29,90,23,26,13,27,33,"protein_coding",90529
"9","NIPAL3","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]",173,169,1013,216,150,112,258,213,"protein_coding",57185
"10","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]",39,65,199,53,16,21,17,98,"protein_coding",81887
"11","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]",78,32,480,131,85,51,99,130,"protein_coding",22875
"12","ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]",312,171,1070,237,215,113,150,302,"protein_coding",54467
"13","RAD52","RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]",46,25,156,49,43,27,54,62,"protein_coding",5893
"14","LAP3","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]",302,127,783,62,165,217,326,421,"protein_coding",51056
"15","LASP1","LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]",3320,1125,7787,2979,2781,2747,2305,1970,"protein_coding",3927
"16","SNX11","sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]",136,43,556,93,201,138,226,146,"protein_coding",29916
"17","TMEM176A","transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]",15,1,107,3,0,1,13,12,"protein_coding",55365
"18","M6PR","mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]",412,386,2085,353,287,191,247,540,"protein_coding",4074
"19","DBNDD1","dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]",10,24,22,17,7,6,32,20,"protein_coding",79007
"20","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]",82,36,153,50,64,13,88,65,"protein_coding",57679
"21","CASP10","caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]",201,116,812,242,183,152,178,154,"protein_coding",843
"22","CFLAR","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]",1603,512,5537,1873,1333,1201,1029,824,"protein_coding",8837
"23","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]",28,9,92,15,28,10,28,40,"protein_coding",7035
"24","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]",63,67,388,76,77,50,82,76,"protein_coding",55471
"25","RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]",433,205,2166,416,254,244,492,669,"protein_coding",10181
"26","ARF5","ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]",981,399,2764,779,683,726,882,792,"protein_coding",381
"27","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]",137,61,443,82,168,85,138,201,"protein_coding",26073
"28","PLXND1","plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]",221,52,443,178,137,124,117,109,"protein_coding",23129
"29","AK2","adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]",261,227,1228,272,155,140,176,422,"protein_coding",204
"30","CD38","CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]",88,60,192,94,120,59,106,70,"protein_coding",952
"31","FKBP4","FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]",157,116,650,94,78,72,65,213,"protein_coding",2288
"32","KDM1A","lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]",20,31,180,38,15,18,35,23,"protein_coding",23028
